Wiek,Rok,Liczba
24,2021,4773
25,2021,4650
26,2021,4524
23,2021,4345
27,2021,4278
28,2021,4160
22,2021,4044
29,2021,4033
30,2021,3723
31,2021,3661
32,2021,3589
33,2021,3557
34,2021,3529
21,2021,3424
36,2021,3311
35,2021,3300
20,2021,3192
37,2021,3187
38,2021,3014
39,2021,2831
40,2021,2723
41,2021,2664
43,2021,2523
42,2021,2484
19,2021,2436
44,2021,2389
45,2021,2223
46,2021,2118
47,2021,2026
49,2021,1873
48,2021,1849
50,2021,1657
18,2021,1651
51,2021,1383
52,2021,1187
0,2021,1185
53,2021,1052
54,2021,990
55,2021,780
56,2021,713
1,2021,711
6,2021,647
57,2021,641
8,2021,600
5,2021,583
13,2021,570
4,2021,569
9,2021,569
7,2021,566
12,2021,556
2,2021,552
11,2021,551
17,2021,543
3,2021,523
10,2021,522
58,2021,501
14,2021,474
16,2021,456
59,2021,436
15,2021,411
60,2021,336
61,2021,244
62,2021,199
63,2021,167
64,2021,113
121,2021,85
65,2021,81
67,2021,63
66,2021,62
68,2021,44
69,2021,43
70,2021,37
71,2021,36
74,2021,24
72,2021,21
76,2021,13
83,2021,13
75,2021,11
80,2021,10
81,2021,9
79,2021,9
82,2021,8
73,2021,7
78,2021,7
149,2021,6
86,2021,4
90,2021,4
84,2021,4
85,2021,3
92,2021,2
120,2021,2
77,2021,2
94,2021,1
123,2021,1
102,2021,1
145,2021,1
91,2021,1
111,2021,1
98,2021,1
142,2021,1
141,2021,1
150,2021,1
